experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H07,0,binary,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H07,0,binary,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H07,0,binary,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H07,0,binary,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H07,0,binary,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H07,1,bump,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H07,1,bump,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H07,1,bump,2,1786,1395,52075.84,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H07,1,bump,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H07,1,bump,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H07,2,exp,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H07,2,exp,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H07,2,exp,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H07,2,exp,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H07,2,exp,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
